Order ID,Customer Name,Shipping Days
CA-2015-133592,Unknown,486.0
CA-2015-133592,Unknown,486.0
CA-2015-133592,Unknown,486.0
CA-2015-133592,Unknown,486.0
CA-2015-133592,Unknown,486.0
CA-2015-126802,Unknown,484.0
CA-2018-146626,Unknown,483.0
CA-2017-160395,Unknown,455.0
CA-2017-160395,Unknown,455.0
US-2017-165953,Unknown,455.0
US-2017-165953,Unknown,455.0
CA-2017-156139,Unknown,455.0
CA-2016-156377,Unknown,453.0
CA-2016-156377,Unknown,453.0
CA-2018-158673,Unknown,453.0
CA-2018-126221,Unknown,452.0
CA-2015-127383,Unknown,425.0
CA-2017-100202,Unknown,424.0
CA-2015-130960,Unknown,423.0
CA-2016-109197,Unknown,423.0
US-2015-169789,Unknown,423.0
CA-2015-152345,Unknown,423.0
CA-2015-152345,Unknown,423.0
CA-2016-135580,Unknown,423.0
CA-2016-135580,Unknown,423.0
CA-2016-135580,Unknown,423.0
CA-2016-135580,Unknown,423.0
CA-2016-135580,Unknown,423.0
CA-2016-120901,Unknown,423.0
CA-2016-120901,Unknown,423.0
CA-2016-120901,Unknown,423.0
CA-2015-102330,Unknown,423.0
CA-2015-102330,Unknown,423.0
CA-2015-131800,Unknown,423.0
CA-2015-131800,Unknown,423.0
CA-2017-139689,Unknown,422.0
CA-2017-139689,Unknown,422.0
CA-2017-117660,Unknown,422.0
CA-2017-117660,Unknown,422.0
CA-2017-160486,Unknown,422.0
CA-2015-150245,Unknown,395.0
CA-2015-111150,Unknown,395.0
CA-2015-111150,Unknown,395.0
CA-2015-106803,Unknown,394.0
CA-2015-106803,Unknown,394.0
CA-2018-118885,Unknown,394.0
CA-2018-118885,Unknown,394.0
CA-2017-156300,Unknown,394.0
CA-2015-110786,Unknown,394.0
CA-2015-110786,Unknown,394.0
CA-2015-110786,Unknown,394.0
CA-2015-110786,Unknown,394.0
CA-2015-110786,Unknown,394.0
CA-2015-110786,Unknown,394.0
CA-2015-110786,Unknown,394.0
CA-2017-122017,Unknown,394.0
CA-2017-122017,Unknown,394.0
US-2017-163258,Unknown,394.0
CA-2018-130631,Unknown,394.0
CA-2018-130631,Unknown,394.0
CA-2015-118276,Unknown,394.0
CA-2017-112578,Unknown,394.0
CA-2017-112578,Unknown,394.0
CA-2016-109470,Unknown,392.0
CA-2016-109470,Unknown,392.0
CA-2016-109470,Unknown,392.0
CA-2016-109470,Unknown,392.0
CA-2015-138072,Unknown,392.0
US-2015-115189,Unknown,392.0
US-2015-115189,Unknown,392.0
CA-2018-143259,Unknown,391.0
CA-2018-143259,Unknown,391.0
CA-2018-143259,Unknown,391.0
CA-2018-115427,Unknown,391.0
CA-2018-115427,Unknown,391.0
CA-2018-156720,Unknown,391.0
US-2015-143231,Unknown,364.0
US-2015-143231,Unknown,364.0
CA-2016-139780,Unknown,364.0
US-2018-158526,Unknown,363.0
US-2018-158526,Unknown,363.0
US-2018-158526,Unknown,363.0
US-2018-158526,Unknown,363.0
US-2018-158526,Unknown,363.0
CA-2017-163951,Unknown,363.0
US-2017-105830,Unknown,335.0
CA-2015-104738,Unknown,332.0
CA-2015-104738,Unknown,332.0
CA-2015-104738,Unknown,332.0
CA-2015-104738,Unknown,332.0
CA-2015-104738,Unknown,332.0
CA-2017-117226,Unknown,332.0
CA-2017-105746,Unknown,332.0
CA-2015-166730,Unknown,332.0
CA-2015-157644,Unknown,304.0
CA-2015-157644,Unknown,304.0
CA-2015-138296,Roy Collins,225.0
US-2018-149510,Matt Collins,225.0
US-2018-149510,Matt Collins,225.0
US-2018-149510,Matt Collins,225.0
CA-2015-138296,Unknown,224.0
US-2018-149510,Unknown,224.0
US-2018-149510,Unknown,224.0
US-2018-149510,Unknown,224.0
CA-2017-128867,Clay Ludtke,224.0
CA-2017-128867,Clay Ludtke,224.0
US-2018-107272,Troy Staebel,224.0
US-2018-107272,Troy Staebel,224.0
US-2018-156083,James Lanier,224.0
CA-2018-105144,Sam Zeldin,224.0
CA-2016-119907,Logan Currie,224.0
CA-2016-121041,Chris Selesnick,224.0
CA-2015-125829,William Brown,224.0
CA-2015-125829,William Brown,224.0
CA-2015-125829,William Brown,224.0
CA-2015-125829,William Brown,224.0
CA-2015-125829,William Brown,224.0
US-2015-134187,Tiffany House,224.0
CA-2017-128867,Unknown,223.0
CA-2017-128867,Unknown,223.0
US-2018-107272,Unknown,223.0
US-2018-107272,Unknown,223.0
US-2018-156083,Unknown,223.0
CA-2018-105144,Unknown,223.0
CA-2016-119907,Unknown,223.0
CA-2016-121041,Unknown,223.0
CA-2015-125829,Unknown,223.0
CA-2015-125829,Unknown,223.0
CA-2015-125829,Unknown,223.0
CA-2015-125829,Unknown,223.0
CA-2015-125829,Unknown,223.0
US-2015-134187,Unknown,223.0
CA-2018-155075,Giulietta Weimer,223.0
CA-2016-108119,MaryBeth Skach,223.0
CA-2018-104108,Roy Phan,223.0
CA-2018-138618,Maribeth Yedwab,223.0
CA-2018-166926,Sean O'Donnell,223.0
CA-2018-166926,Sean O'Donnell,223.0
CA-2015-103807,Elizabeth Moffitt,223.0
CA-2015-103807,Elizabeth Moffitt,223.0
CA-2015-138296,Roy Collins,223.0
US-2018-149510,Matt Collins,223.0
US-2018-149510,Matt Collins,223.0
US-2018-149510,Matt Collins,223.0
CA-2016-135510,Tamara Willingham,222.0
CA-2017-128867,Clay Ludtke,222.0
CA-2017-128867,Clay Ludtke,222.0
US-2018-107272,Troy Staebel,222.0
US-2018-107272,Troy Staebel,222.0
US-2018-156083,James Lanier,222.0
CA-2018-105144,Sam Zeldin,222.0
CA-2016-119907,Logan Currie,222.0
CA-2016-121041,Chris Selesnick,222.0
CA-2015-125829,William Brown,222.0
CA-2015-125829,William Brown,222.0
CA-2015-125829,William Brown,222.0
CA-2015-125829,William Brown,222.0
CA-2015-125829,William Brown,222.0
US-2015-134187,Tiffany House,222.0
CA-2018-155075,Unknown,222.0
CA-2016-108119,Unknown,222.0
CA-2018-104108,Unknown,222.0
CA-2018-138618,Unknown,222.0
CA-2018-166926,Unknown,222.0
CA-2018-166926,Unknown,222.0
CA-2015-103807,Unknown,222.0
CA-2015-103807,Unknown,222.0
CA-2017-163986,Jennifer Jackson,222.0
CA-2015-126907,Suzanne McNair,222.0
CA-2015-152562,Jack O'Briant,222.0
CA-2015-152562,Jack O'Briant,222.0
CA-2015-168305,Paul Lucas,222.0
CA-2015-168305,Paul Lucas,222.0
CA-2017-163986,Unknown,221.0
CA-2015-126907,Unknown,221.0
CA-2015-152562,Unknown,221.0
CA-2015-152562,Unknown,221.0
CA-2015-168305,Unknown,221.0
CA-2015-168305,Unknown,221.0
CA-2016-135510,Unknown,221.0
CA-2018-152275,Ken Heidel,221.0
CA-2018-156951,Ellis Ballard,221.0
CA-2018-156951,Ellis Ballard,221.0
CA-2018-156951,Ellis Ballard,221.0
CA-2018-156951,Ellis Ballard,221.0
CA-2016-104626,Daniel Raglin,221.0
CA-2016-104626,Daniel Raglin,221.0
CA-2016-104626,Daniel Raglin,221.0
CA-2016-104626,Daniel Raglin,221.0
CA-2017-118689,Tamara Chand,221.0
CA-2017-118689,Tamara Chand,221.0
CA-2017-118689,Tamara Chand,221.0
CA-2017-118689,Tamara Chand,221.0
CA-2017-118689,Tamara Chand,221.0
CA-2015-124723,Gary Zandusky,221.0
CA-2018-155075,Giulietta Weimer,221.0
CA-2016-108119,MaryBeth Skach,221.0
CA-2018-104108,Roy Phan,221.0
CA-2018-138618,Maribeth Yedwab,221.0
CA-2018-166926,Sean O'Donnell,221.0
CA-2018-166926,Sean O'Donnell,221.0
CA-2015-103807,Elizabeth Moffitt,221.0
CA-2015-103807,Elizabeth Moffitt,221.0
CA-2017-163986,Jennifer Jackson,220.0
CA-2015-126907,Suzanne McNair,220.0
CA-2015-152562,Jack O'Briant,220.0
CA-2015-152562,Jack O'Briant,220.0
CA-2015-168305,Paul Lucas,220.0
CA-2015-168305,Paul Lucas,220.0
CA-2016-135510,Tamara Willingham,220.0
CA-2018-152275,Unknown,220.0
CA-2018-156951,Unknown,220.0
CA-2018-156951,Unknown,220.0
CA-2018-156951,Unknown,220.0
CA-2018-156951,Unknown,220.0
CA-2016-104626,Unknown,220.0
CA-2016-104626,Unknown,220.0
CA-2016-104626,Unknown,220.0
CA-2016-104626,Unknown,220.0
CA-2017-118689,Unknown,220.0
CA-2017-118689,Unknown,220.0
CA-2017-118689,Unknown,220.0
CA-2017-118689,Unknown,220.0
CA-2017-118689,Unknown,220.0
CA-2015-124723,Unknown,220.0
CA-2018-140053,Christina Anderson,220.0
CA-2015-152849,David Wiener,220.0
CA-2018-169124,Maria Bertelson,220.0
CA-2018-140053,Unknown,219.0
CA-2015-152849,Unknown,219.0
CA-2018-169124,Unknown,219.0
CA-2016-111703,Karl Braun,219.0
CA-2016-111703,Karl Braun,219.0
CA-2018-140872,Nick Radford,219.0
CA-2018-140872,Nick Radford,219.0
CA-2018-140872,Nick Radford,219.0
CA-2018-140872,Nick Radford,219.0
